Player_ID,Player_Name,Date_of_Birth,Team_ID,Country,Batting_Style,Bowling_Style,Role,Player_Captain_ID
455,V Shankar,1/26/1991,6,India,Right-hand bat,Right-arm medium,Player,187
472,Ankit Soni,8/2/1993,8,India,ÿRight-hand bat,ÿLegbreak,Player,21
485,Mohammad Nabi,1/1/1985,6,Afghanistan,ÿRight-hand bat,Right-arm offbreak,Player,187
486,Mohammed Siraj,3/13/1994,6,India,Right-hand bat,ÿRight-arm medium-fast,Player,187
489,Rashid Khan,11/20/1998,6,Afghanistan,Right-hand bat,Legbreak googly,Player,187
31,YK Pathan,11/17/1982,1,India,Right-hand bat,Right-arm offbreak,Player,40
40,G Gambhir,10/14/1981,1,India,Left-hand bat,Legbreak,Captain,40
46,RV Uthappa,11/11/1985,1,India,Right-hand bat,Right-arm medium,Keeper,40
57,RG Sharma,4/30/1987,5,India,Right-hand bat,Right-arm offbreak,Captain,57
79,SS Tiwary,12/30/1989,5,India,Left-hand bat,NULL,Player,57
81,R Vinay Kumar,2/12/1984,5,India,Right-hand bat,Right-arm medium,Player,57
96,MK Pandey,9/10/1989,1,India,Right-hand bat,Right-arm medium,Player,40
166,KV Sharma,10/23/1987,5,India,Left-hand bat,Legbreak googly,Player,57
208,AT Rayudu,9/23/1985,5,India,Right-hand bat,Right-arm offbreak,Keeper,57
221,KA Pollard,5/12/1987,5,West Indies,Right-hand bat,Right-arm medium-fast,Player,57
232,UT Yadav,10/25/1987,1,India,Right-hand bat,Right-arm fast-medium,Player,40
315,SP Narine,5/26/1988,1,West Indies,Left-hand bat,Right-arm offbreak,Player,40
336,CA Lynn,4/10/1990,1,Australia,Right-hand bat,Slow left-arm orthodox,Player,40
344,AS Rajpoot,12/4/1993,1,India,Right-hand bat,Right-arm medium,Player,40
357,MG Johnson,11/2/1981,5,Australia,Left-hand bat,Left-arm fast,Player,57
377,TG Southee,12/11/1988,5,New Zealand,Right-hand bat,Right-arm medium-fast,Player,57
383,LMP Simmons,1/25/1985,5,West Indies,Right-hand bat,Right-arm medium-fast,Player,57
400,HH Pandya,10/11/1993,5,India,Right-hand bat,Right-arm medium-fast,Player,57
413,KH Pandya,3/24/1991,5,India,Left-hand bat,Slow left-arm orthodox,Player,57
458,TA Boult,7/22/1989,1,New Zealand,Right-hand bat,Left-arm fast-medium,Player,40
462,Kuldeep Yadav,12/14/1994,1,India,Left-hand bat,Slow left-arm chinaman,Player,40
478,C de Grandhomme,7/22/1986,1,New Zealand,Right-hand bat,Right-arm fast-medium,Player,40
20,MS Dhoni,7/7/1981,7,India,Right-hand bat,Right-arm medium,Keeper,306
62,WP Saha,10/24/1984,3,India,Right-hand bat,NULL,Keeper,305
84,I Sharma,9/2/1988,3,India,Right-hand bat,Right-arm fast-medium,Player,305
85,AM Rahane,6/6/1988,7,India,Right-hand bat,Right-arm medium,Player,306
87,MK Tiwary,11/14/1985,7,India,Right-hand bat,Legbreak googly,Player,306
100,SE Marsh,7/9/1983,3,Australia,Left-hand bat,Slow left-arm orthodox,Player,305
216,EJG Morgan,9/10/1986,3,England,Left-hand bat,Right-arm medium,Player,305
258,DT Christian,5/4/1983,7,Australia,Right-hand bat,Right-arm fast-medium,Player,306
305,GJ Maxwell,10/14/1988,3,Australia,Right-hand bat,Right-arm offbreak,Captain,305
306,SPD Smith,6/2/1989,7,India,Right-hand bat,Legbreak googly,Captain,306
346,JD Unadkat,10/18/1991,7,India,Right-hand bat,Left-arm medium,Player,306
364,MM Sharma,9/18/1988,3,India,Right-hand bat,Right-arm medium,Player,305
367,Sandeep Sharma,5/18/1993,3,India,Right-hand bat,Right-arm medium,Player,305
374,AR Patel,1/20/1994,3,India,Left-hand bat,Slow left-arm orthodox,Player,305
390,R Tewatia,5/20/1993,3,India,Left-hand bat,Legbreak,Player,305
406,SN Thakur,10/16/1991,7,India,Right-hand bat,Right-arm medium,Player,306
415,MJ Guptill,9/30/1986,3,New Zealand,Right-hand bat,Right-arm offbreak,Player,305
424,Swapnil Singh,1/22/1991,3,India,Right-hand bat,Slow left-arm orthodox,Player,305
430,A Zampa,3/31/1992,7,Australia,Right-hand bat,Legbreak googly,Player,306
476,BA Stokes,6/4/1991,7,England,Left-hand bat,Right-arm fast-medium,Player,306
488,RA Tripathi,3/2/1991,7,India,ÿRight-hand bat,Right-arm medium,Player,306
497,Washington Sundar,10/5/1999,7,India,ÿLeft-hand bat,ÿRight-arm offbreak,Player,306
8,V Kohli,11/5/1988,2,India,Right-hand bat,Right-arm medium,Captain,8
15,Z Khan,10/7/1978,4,India,Right-hand bat,Left-arm fast-medium,Captain,15
32,SR Watson,6/17/1981,2,Australia,Right-hand bat,Right-arm fast-medium,Player,8
136,A Mishra,11/24/1982,4,India,Right-hand bat,Legbreak,Player,15
162,CH Gayle,9/21/1979,2,West Indies,Left-hand bat,Right-arm offbreak,Player,8
237,KM Jadhav,3/26/1985,2,India,Right-hand bat,Right-arm offbreak,Player,8
293,S Nadeem,8/12/1989,4,India,Right-hand bat,Slow left-arm orthodox,Player,15
307,MN Samuels,2/5/1981,4,West Indies,Right-hand bat,Right-arm offbreak,Player,15
311,HV Patel,11/23/1990,2,India,Right-hand bat,Right-arm medium,Player,8
322,P Negi,1/6/1993,2,India,Left-hand bat,Slow left-arm orthodox,Player,8
339,KK Nair,12/6/1991,4,India,Right-hand bat,Right-arm offbreak,Player,15
347,Mohammed Shami,9/3/1990,4,India,Right-hand bat,Right-arm fast-medium,Player,15
351,SV Samson,11/11/1994,4,India,Right-hand bat,NULL,Player,15
369,Sachin Baby,12/18/1988,2,India,Left-hand bat,Right-arm offbreak,Player,8
372,CJ Anderson,12/13/1990,4,New Zealand,Left-hand bat,Left-arm medium-fast,Player,15
382,YS Chahal,7/23/1990,2,India,Right-hand bat,Legbreak googly,Player,8
393,SS Iyer,12/6/1994,4,India,Right-hand bat,Legbreak googly,Player,15
405,PJ Cummins,5/8/1993,4,Australia,Right-hand bat,Right-arm fast,Player,15
417,TM Head,12/29/1993,2,Australia,Left-hand bat,Right-arm offbreak,Player,8
420,RR Pant,10/4/1997,4,India,Left-hand bat,NULL,Keeper,15
474,Avesh Khan,12/13/1996,2,India,Right-hand bat,Right-arm medium-fast,Player,8
496,Vishnu Vinod,12/2/1993,2,India,Right-hand bat,NULL,Keeper,8
17,PA Patel,3/9/1985,5,India,Left-hand bat,NULL,Keeper,57
20,MS Dhoni,7/7/1981,7,India,Right-hand bat,Right-arm medium,Keeper,306
57,RG Sharma,4/30/1987,5,India,Right-hand bat,Right-arm offbreak,Captain,57
85,AM Rahane,6/6/1988,7,India,Right-hand bat,Right-arm medium,Player,306
87,MK Tiwary,11/14/1985,7,India,Right-hand bat,Legbreak googly,Player,306
166,KV Sharma,10/23/1987,5,India,Left-hand bat,Legbreak googly,Player,57
194,SL Malinga,8/28/1983,5,Sri Lanka,Right-hand bat,Right-arm fast,Player,57
208,AT Rayudu,9/23/1985,5,India,Right-hand bat,Right-arm offbreak,Player,57
221,KA Pollard,5/12/1987,5,West Indies,Right-hand bat,Right-arm medium-fast,Player,57
258,DT Christian,5/4/1983,7,Australia,Right-hand bat,Right-arm fast-medium,Player,306
306,SPD Smith,6/2/1989,7,India,Right-hand bat,Legbreak googly,Captain,306
346,JD Unadkat,10/18/1991,7,India,Right-hand bat,Left-arm medium,Player,306
375,JJ Bumrah,12/6/1993,5,India,Right-hand bat,Right-arm medium,Player,57
383,LMP Simmons,1/25/1985,5,West Indies,Right-hand bat,Right-arm medium-fast,Player,57
400,HH Pandya,10/11/1993,5,India,Right-hand bat,Right-arm medium-fast,Player,57
403,MJ McClenaghan,6/11/1986,5,New Zealand,Left-hand bat,Left-arm fast-medium,Player,57
406,SN Thakur,10/16/1991,7,India,Right-hand bat,Right-arm medium,Player,306
413,KH Pandya,3/24/1991,5,India,Left-hand bat,Slow left-arm orthodox,Player,57
430,A Zampa,3/31/1992,7,Australia,Right-hand bat,Legbreak googly,Player,306
483,LH Ferguson,6/13/1991,7,New Zealand,Right-hand bat,Right-arm fast,Player,306
488,RA Tripathi,3/2/1991,7,India,ÿRight-hand bat,Right-arm medium,Player,306
497,Washington Sundar,10/5/1999,7,India,ÿLeft-hand bat,ÿRight-arm offbreak,Player,306
27,Yuvraj Singh,12/12/1981,6,India,Left-hand bat,Slow left-arm orthodox,Player,187
31,YK Pathan,11/17/1982,1,India,Right-hand bat,Right-arm offbreak,Player,40
40,G Gambhir,10/14/1981,1,India,Left-hand bat,Legbreak,Captain,40
42,S Dhawan,12/5/1985,6,India,Left-hand bat,Right-arm offbreak,Player,187
46,RV Uthappa,11/11/1985,1,India,Right-hand bat,Right-arm medium,Keeper,40
67,PP Chawla,12/24/1988,1,India,Left-hand bat,Legbreak,Player,40
183,NV Ojha,7/20/1983,6,India,Right-hand bat,NULL,Keeper,187
187,DA Warner,10/27/1986,6,Australia,Left-hand bat,Legbreak,Captain,187
228,Bipul Sharma,9/28/1983,6,India,Left-hand bat,Slow left-arm orthodox,Player,187
232,UT Yadav,10/25/1987,1,India,Right-hand bat,Right-arm fast-medium,Player,40
257,IR Jaggi,1/27/1989,1,India,Right-hand bat,Legbreak googly,Player,40
299,B Kumar,2/5/1990,6,India,Right-hand bat,Right-arm medium,Player,187
308,SA Yadav,9/14/1990,1,India,Right-hand bat,Right-arm offbreak,Player,40
315,SP Narine,5/26/1988,1,West Indies,Left-hand bat,Right-arm offbreak,Player,40
336,CA Lynn,4/10/1990,1,Australia,Right-hand bat,Slow left-arm orthodox,Player,40
368,S Kaul,5/19/1990,6,India,Right-hand bat,Right-arm medium,Player,187
371,NM Coulter-Nile,10/11/1987,1,Australia,Right-hand bat,Right-arm fast,Player,40
396,KS Williamson,8/8/1990,6,New Zealand,Right-hand bat,Right-arm offbreak,Player,187
434,CJ Jordan,10/4/1988,6,England,Right-hand bat,Right-arm fast-medium,Player,187
455,V Shankar,1/26/1991,6,India,Right-hand bat,Right-arm medium,Player,187
458,TA Boult,7/22/1989,1,New Zealand,Right-hand bat,Left-arm fast-medium,Player,40
489,Rashid Khan,11/20/1998,6,Afghanistan,Right-hand bat,Legbreak googly,Player,187
17,PA Patel,3/9/1985,5,India,Left-hand bat,NULL,Keeper,57
40,G Gambhir,10/14/1981,1,India,Left-hand bat,Legbreak,Captain,40
46,RV Uthappa,11/11/1985,1,India,Right-hand bat,Right-arm medium,Keeper,40
57,RG Sharma,4/30/1987,5,India,Right-hand bat,Right-arm offbreak,Captain,57
67,PP Chawla,12/24/1988,1,India,Left-hand bat,Legbreak,Player,40
166,KV Sharma,10/23/1987,5,India,Left-hand bat,Legbreak googly,Player,57
194,SL Malinga,8/28/1983,5,Sri Lanka,Right-hand bat,Right-arm fast,Player,57
208,AT Rayudu,9/23/1985,5,India,Right-hand bat,Right-arm offbreak,Player,57
221,KA Pollard,5/12/1987,5,West Indies,Right-hand bat,Right-arm medium-fast,Player,57
232,UT Yadav,10/25/1987,1,India,Right-hand bat,Right-arm fast-medium,Player,40
257,IR Jaggi,1/27/1989,1,India,Right-hand bat,Legbreak googly,Player,40
308,SA Yadav,9/14/1990,1,India,Right-hand bat,Right-arm offbreak,Player,40
315,SP Narine,5/26/1988,1,West Indies,Left-hand bat,Right-arm offbreak,Player,40
336,CA Lynn,4/10/1990,1,Australia,Right-hand bat,Slow left-arm orthodox,Player,40
344,AS Rajpoot,12/4/1993,1,India,Right-hand bat,Right-arm medium,Player,40
357,MG Johnson,11/2/1981,5,Australia,Left-hand bat,Left-arm fast,Player,57
371,NM Coulter-Nile,10/11/1987,1,Australia,Right-hand bat,Right-arm fast,Player,40
375,JJ Bumrah,12/6/1993,5,India,Right-hand bat,Right-arm medium,Player,57
383,LMP Simmons,1/25/1985,5,West Indies,Right-hand bat,Right-arm medium-fast,Player,57
400,HH Pandya,10/11/1993,5,India,Right-hand bat,Right-arm medium-fast,Player,57
413,KH Pandya,3/24/1991,5,India,Left-hand bat,Slow left-arm orthodox,Player,57
478,C de Grandhomme,7/22/1986,1,New Zealand,Right-hand bat,Right-arm fast-medium,Player,40
17,PA Patel,3/9/1985,5,India,Left-hand bat,NULL,Keeper,57
20,MS Dhoni,7/7/1981,7,India,Right-hand bat,Right-arm medium,Keeper,306
57,RG Sharma,4/30/1987,5,India,Right-hand bat,Right-arm offbreak,Captain,57
85,AM Rahane,6/6/1988,7,India,Right-hand bat,Right-arm medium,Player,306
87,MK Tiwary,11/14/1985,7,India,Right-hand bat,Legbreak googly,Player,306
166,KV Sharma,10/23/1987,5,India,Left-hand bat,Legbreak googly,Player,57
194,SL Malinga,8/28/1983,5,Sri Lanka,Right-hand bat,Right-arm fast,Player,57
208,AT Rayudu,9/23/1985,5,India,Right-hand bat,Right-arm offbreak,Player,57
221,KA Pollard,5/12/1987,5,West Indies,Right-hand bat,Right-arm medium-fast,Player,57
258,DT Christian,5/4/1983,7,Australia,Right-hand bat,Right-arm fast-medium,Player,306
306,SPD Smith,6/2/1989,7,India,Right-hand bat,Legbreak googly,Captain,306
346,JD Unadkat,10/18/1991,7,India,Right-hand bat,Left-arm medium,Player,306
357,MG Johnson,11/2/1981,5,Australia,Left-hand bat,Left-arm fast,Player,57
375,JJ Bumrah,12/6/1993,5,India,Right-hand bat,Right-arm medium,Player,57
383,LMP Simmons,1/25/1985,5,West Indies,Right-hand bat,Right-arm medium-fast,Player,57
400,HH Pandya,10/11/1993,5,India,Right-hand bat,Right-arm medium-fast,Player,57
406,SN Thakur,10/16/1991,7,India,Right-hand bat,Right-arm medium,Player,306
413,KH Pandya,3/24/1991,5,India,Left-hand bat,Slow left-arm orthodox,Player,57
430,A Zampa,3/31/1992,7,Australia,Right-hand bat,Legbreak googly,Player,306
483,LH Ferguson,6/13/1991,7,New Zealand,Right-hand bat,Right-arm fast,Player,306
488,RA Tripathi,3/2/1991,7,India,ÿRight-hand bat,Right-arm medium,Player,306
497,Washington Sundar,10/5/1999,7,India,ÿLeft-hand bat,ÿRight-arm offbreak,Player,306
